"";"cor_raca";"faixa_etaria"
"764";"Branca";"15-29"
"765";"Branca";"15-29"
"766";"Branca";"15-29"
"767";"Branca";"15-29"
"768";"Branca";"15-29"
"769";"Branca";"15-29"
"770";"Branca";"15-29"
"771";"Branca";"15-29"
"772";"Branca";"15-29"
"773";"Branca";"15-29"
"774";"Branca";"15-29"
"775";"Branca";"15-29"
"776";"Branca";"15-29"
"777";"Branca";"15-29"
"778";"Branca";"15-29"
"779";"Branca";"15-29"
"780";"Branca";"15-29"
"781";"Branca";"15-29"
"782";"Branca";"15-29"
"783";"Branca";"15-29"
"784";"Branca";"15-29"
"785";"Branca";"15-29"
"786";"Branca";"15-29"
"787";"Branca";"15-29"
"788";"Branca";"15-29"
"789";"Branca";"15-29"
"790";"Branca";"15-29"
"791";"Branca";"15-29"
"792";"Branca";"15-29"
"793";"Branca";"15-29"
"794";"Branca";"15-29"
"795";"Branca";"15-29"
"796";"Branca";"15-29"
"797";"Branca";"15-29"
"798";"Branca";"15-29"
"799";"Branca";"15-29"
"800";"Branca";"15-29"
"801";"Branca";"15-29"
"802";"Branca";"15-29"
"803";"Branca";"15-29"
"804";"Branca";"15-29"
"805";"Branca";"15-29"
"806";"Branca";"15-29"
"807";"Branca";"15-29"
"808";"Branca";"15-29"
"809";"Branca";"15-29"
"810";"Branca";"15-29"
"811";"Branca";"15-29"
"812";"Branca";"15-29"
"813";"Branca";"15-29"
"814";"Branca";"15-29"
"815";"Branca";"15-29"
"816";"Branca";"15-29"
"817";"Branca";"15-29"
"818";"Branca";"15-29"
"819";"Branca";"15-29"
"820";"Branca";"15-29"
"821";"Branca";"15-29"
"822";"Branca";"15-29"
"823";"Branca";"15-29"
"824";"Branca";"15-29"
"825";"Branca";"15-29"
"826";"Branca";"15-29"
"827";"Branca";"15-29"
"828";"Branca";"15-29"
"829";"Branca";"15-29"
"830";"Branca";"15-29"
"831";"Branca";"15-29"
"832";"Branca";"15-29"
"833";"Branca";"15-29"
"834";"Branca";"15-29"
"835";"Branca";"15-29"
"836";"Branca";"15-29"
"837";"Branca";"15-29"
"838";"Branca";"15-29"
"839";"Branca";"15-29"
"840";"Branca";"15-29"
"841";"Branca";"15-29"
"842";"Branca";"15-29"
"843";"Branca";"15-29"
"844";"Branca";"15-29"
"845";"Branca";"15-29"
"846";"Branca";"15-29"
"847";"Branca";"15-29"
"848";"Branca";"15-29"
"849";"Branca";"15-29"
"850";"Branca";"15-29"
"851";"Branca";"15-29"
"852";"Branca";"15-29"
"853";"Branca";"15-29"
"854";"Branca";"15-29"
"855";"Branca";"15-29"
"856";"Branca";"15-29"
"857";"Branca";"15-29"
"858";"Branca";"15-29"
"859";"Branca";"15-29"
"860";"Branca";"15-29"
"861";"Branca";"15-29"
"862";"Branca";"15-29"
"863";"Branca";"15-29"
"864";"Branca";"15-29"
"865";"Branca";"15-29"
"866";"Branca";"15-29"
"867";"Branca";"15-29"
"868";"Branca";"15-29"
"869";"Branca";"15-29"
"870";"Branca";"15-29"
"871";"Branca";"15-29"
"872";"Branca";"15-29"
"873";"Branca";"15-29"
"874";"Branca";"15-29"
"875";"Branca";"15-29"
"876";"Branca";"15-29"
"877";"Branca";"15-29"
"878";"Branca";"15-29"
"879";"Branca";"15-29"
"880";"Branca";"15-29"
"881";"Branca";"15-29"
"882";"Branca";"15-29"
"883";"Branca";"15-29"
"884";"Branca";"15-29"
"885";"Branca";"15-29"
"886";"Branca";"15-29"
"887";"Branca";"15-29"
"888";"Branca";"15-29"
"889";"Branca";"15-29"
"890";"Branca";"15-29"
"891";"Branca";"15-29"
"892";"Branca";"15-29"
"893";"Branca";"15-29"
"894";"Branca";"15-29"
"895";"Branca";"15-29"
"896";"Branca";"15-29"
"897";"Branca";"15-29"
"898";"Branca";"15-29"
"899";"Branca";"15-29"
"900";"Branca";"15-29"
"901";"Branca";"15-29"
"902";"Branca";"15-29"
"903";"Branca";"15-29"
"904";"Branca";"15-29"
"905";"Branca";"15-29"
"906";"Branca";"15-29"
"907";"Branca";"15-29"
"908";"Branca";"15-29"
"909";"Branca";"15-29"
"910";"Branca";"15-29"
"911";"Branca";"15-29"
"912";"Branca";"15-29"
"913";"Branca";"15-29"
"914";"Branca";"15-29"
"915";"Branca";"15-29"
"916";"Branca";"15-29"
"917";"Branca";"15-29"
"918";"Branca";"15-29"
"919";"Branca";"15-29"
"920";"Branca";"15-29"
"921";"Branca";"15-29"
"922";"Branca";"15-29"
"923";"Branca";"15-29"
"924";"Branca";"15-29"
"925";"Branca";"15-29"
"926";"Branca";"15-29"
"927";"Branca";"15-29"
"928";"Branca";"15-29"
"929";"Branca";"15-29"
"930";"Branca";"15-29"
"931";"Branca";"15-29"
"932";"Branca";"15-29"
"933";"Branca";"15-29"
"934";"Branca";"15-29"
"935";"Branca";"15-29"
"936";"Branca";"15-29"
"937";"Branca";"15-29"
"938";"Branca";"15-29"
"939";"Branca";"15-29"
"940";"Branca";"15-29"
"941";"Branca";"15-29"
"942";"Branca";"15-29"
"943";"Branca";"15-29"
"944";"Branca";"15-29"
"945";"Branca";"15-29"
"946";"Branca";"15-29"
"947";"Branca";"15-29"
"948";"Branca";"15-29"
"949";"Branca";"15-29"
"950";"Branca";"15-29"
"951";"Branca";"15-29"
"952";"Branca";"15-29"
"953";"Branca";"15-29"
"954";"Branca";"15-29"
"955";"Branca";"15-29"
"956";"Branca";"15-29"
"957";"Branca";"15-29"
"958";"Branca";"15-29"
"959";"Branca";"15-29"
"960";"Branca";"15-29"
"961";"Branca";"15-29"
"962";"Branca";"15-29"
"963";"Branca";"15-29"
"964";"Branca";"15-29"
"965";"Branca";"15-29"
"966";"Branca";"15-29"
"967";"Branca";"15-29"
"968";"Branca";"15-29"
"969";"Branca";"15-29"
"970";"Branca";"15-29"
"971";"Branca";"15-29"
"972";"Branca";"15-29"
"973";"Branca";"15-29"
"974";"Branca";"15-29"
"975";"Branca";"15-29"
